nnkd,mob,MOB_term,Credit_TermApr,bad,maxdelay_one,delays_one,MA_AGE,MA_Gender,MA_Education,MA_Marital_Status,MANUMBEROFCHILD,MA_Residential_Status,MA_MONTH_AT_CURR_ADDRESS,MA_Real_Estate_Owner,MA_REG_Same_Fact_Addr,MA_MONTH_AT_CURR_PASSP,MA_Exp_IND,MA_MONTH_AT_CURR_JOB,MA_Time_Previous_Job,MA_Proposed_Amount,TOT_INCOME,PARTWH_INCOME,PAYMD2TOTPAYM,PTI,ratio_curr_cap_share,larger_diff_term,ratio_inst_amount,freq_nnkd,age_range,EQ_PP,diff_white_pti,ratio_time_job,ratio_amount_income
1-RUR-4500-3478783,12,0.19672131140000002,61,1,26,0,29,1,0,3,1,4,14,1,0,79,0,9,6,200000,25000.0,0.0,0.3251564278447173,0.2301436,0.10399786884251398,1,94.3211475409836,7,2,0,-5753.59,0.6666666666666666,1.5
1-RUR-4200-2865295,12,0.19672131140000002,61,0,16,0,26,1,0,2,0,1,113,1,0,56,0,7,0,263000,25000.0,1.0,0.4302968001051889,0.31570360000000003,0.15858112130610952,1,129.3867213114754,21,1,0,17107.41,0.0,1.1406844106463878
1-RUR-4020-3243537,8,0.1311475409,61,0,19,0,29,0,1,5,0,3,53,1,0,61,0,7,48,100000,11660.0,1.0,0.3166983538718968,0.24672384219554036,0.05915676505138551,1,47.16065573770492,14,2,0,8783.199999999999,6.857142857142857,1.3992
1-RUR-5230-3953356,5,0.08196721309999999,61,0,23,0,25,0,0,2,0,1,11,1,0,44,0,41,36,200000,28676.0,1.0,0.2867954545454546,0.20064130283163625,0.02589144837406464,1,94.3211475409836,9,1,0,22922.41,0.8780487804878049,1.72056
1-RUR-6560-3749451,2,0.0408163265,49,0,0,0,51,1,1,1,1,1,35,1,0,65,0,367,0,300000,34700.0,1.0,0.348737,0.28186023054755044,0.011761286458919516,1,199.60306122448978,8,4,0,24919.449999999997,0.0,1.388
1-RUR-0000-4002861,10,0.8333333333,12,0,17,0,26,1,2,2,0,2,5,1,0,73,0,9,11,35000,38420.0,1.0,0.8421035384245673,0.08614237376366476,2.6612678662709537,1,275.7991666666667,9,1,0,35110.41,1.2222222222222223,13.172571428571429
1-RUR-2200-4289516,4,0.0655737704,61,0,0,0,29,0,0,5,1,4,17,1,0,11,0,59,48,350000,35000.0,0.0,0.3072558254833912,0.2876797142857143,0.018025893547039644,1,165.062131147541,1,2,0,-10068.79,0.8135593220338984,1.2
1-RUR-3630-3967065,7,0.41176470579999996,17,1,22,0,25,1,2,2,0,4,28,1,0,20,0,10,120,35000,20000.0,0.0,0.7203509632518871,0.122447,0.35006488022996346,1,144.05529411764707,8,1,0,-2448.94,12.0,6.857142857142857
1-RUR-0000-3845192,1,0.021276595699999998,47,0,0,0,56,0,2,5,0,3,33,1,0,42,0,4,456,700000,65500.0,0.0,0.0,0.3575174045801527,0.0,1,498.2423404255319,1,4,1,-23417.39,114.0,1.1228571428571428
1-RUR-0420-4601318,1,0.0163934426,61,0,0,0,31,0,2,5,1,4,6,1,0,65,0,12,120,200000,19000.0,0.0,0.0,0.3028205263157895,0.0,1,94.3211475409836,1,2,1,-5753.59,10.0,1.14
1-RUR-4520-3533035,2,0.11764705880000001,17,0,0,0,33,1,2,5,1,2,31,1,0,82,0,4,10,150000,43000.0,1.0,0.0,0.2440809302325581,0.0,1,617.3811764705882,3,2,1,32504.52,2.5,3.44
1-RUR-0000-3902785,2,0.0327868852,61,0,0,0,23,0,2,2,0,2,20,1,0,36,0,7,8,250000,48000.0,0.0,0.27093597428353433,0.14983312499999998,0.007859245985827644,1,117.90147540983607,6,1,0,-7191.989999999999,1.1428571428571428,2.304
1-RUR-0000-4470915,1,0.034482758599999996,29,0,0,0,23,1,2,2,0,2,3,1,0,38,0,10,10,300000,45000.0,1.0,0.0,0.29843844444444445,0.0,1,463.0941379310345,1,1,1,31570.27,1.0,1.8
1-RUR-4500-3231642,2,0.0327868852,61,1,0,0,32,1,2,2,0,1,189,1,0,85,0,37,60,500000,63000.0,1.0,0.3142687301852161,0.2283171428571429,0.009122854067454333,1,235.80295081967213,2,2,0,48616.02,1.6216216216216217,1.512
1-RUR-4520-3642760,5,0.20833333329999998,24,0,9,0,27,1,0,3,0,1,12,1,0,64,0,19,48,180000,45000.0,1.0,0.6533149665794211,0.20751266666666665,0.15855292354480258,1,389.08625,7,2,0,35661.93,2.526315789473684,3.0
1-RUR-4520-4902993,3,0.081081081,37,0,8,0,26,0,2,2,0,1,32,1,0,68,0,12,13,300000,45000.0,0.0,0.4434674911756296,0.28821911111111115,0.04039442316823803,1,350.53675675675674,4,1,0,-12969.860000000002,1.0833333333333333,1.8
1-RUR-4500-4630548,2,0.0327868852,61,0,3,0,30,0,3,5,1,2,4,1,0,40,0,34,36,300000,54000.0,1.0,0.2814922222222222,0.15982203703703698,0.008516688043584754,1,141.48180327868852,4,2,0,45369.61,1.0588235294117647,2.16
1-RUR-0000-3825242,1,0.0163934426,61,0,0,0,27,0,2,2,0,1,41,1,0,75,0,65,0,625000,45000.0,0.0,0.0,0.3995551111111111,0.0,1,294.75377049180327,3,2,1,-17979.98,0.0,0.864
1-RUR-0000-3150546,2,0.0833333333,24,0,14,0,36,0,2,5,0,4,31,1,0,4,0,18,11,70000,18666.0,1.0,0.0,0.2036595949855352,0.0,1,158.39625,3,2,1,14864.49,0.6111111111111112,3.1998857142857142
1-RUR-4500-4630548,3,0.0491803278,61,1,4,0,30,0,3,5,1,2,4,1,0,40,0,34,36,300000,54000.0,1.0,0.28917288135593217,0.15982203703703698,0.017357336997990105,1,141.48180327868852,4,2,0,45369.61,1.0588235294117647,2.16
1-RUR-6560-3749451,5,0.1020408163,49,1,12,0,51,1,1,1,1,1,35,1,0,65,0,367,0,300000,34700.0,1.0,0.3639207088282657,0.28186023054755044,0.0397548174959959,1,199.60306122448978,8,4,0,24919.449999999997,0.0,1.388
1-RUR-0000-3203373,7,0.1147540983,61,0,3,0,35,0,2,5,2,4,35,1,0,61,0,50,34,350000,39500.0,0.0,0.45390410344282395,0.2659101265822785,0.07856169413072862,1,172.1877049180328,7,2,0,-10503.450000000003,0.68,1.3542857142857143
1-RUR-9970-3757695,1,0.0163934426,61,1,0,0,31,0,2,3,1,2,9,1,0,56,0,9,2,370000,35000.0,0.0,0.265155528503853,0.3041185714285714,0.007688170501399546,1,174.49426229508197,7,2,1,-10644.15,0.2222222222222222,1.135135135135135
